,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
0,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
1,HP Omen 16 Max,287999.0,,HP,32GB,3.3,1TB,Windows 11,Black,17.0,16.0
2,"EBook 11.6"" HD Laptop",10990.0,,EBOOK,4GB,3.8,4GB,Windows 11,Black,56.0,11.6
3,HP 15,41990.0,i3,HP,12GB,4.1,512GB,Windows 11,Silver,20.0,15.6
4,JioBook 11 with Lifetime Office,10990.0,,JIOBOOK,4GB,2.9,4GB,,Blue,56.0,
5,"BrowseBook 14.1"" FHD IPS Laptop",12990.0,,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,57.0,14.1
6,Ienovo ThinkPad L14,25995.0,i5,IENOVO,8GB,,256GB,Windows 10,,63.0,
7,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),,,LENOVO,4GB,3.9,4GB,,Blue,,46.0
8,HP 15,36990.0,Ryzen 3,HP,8GB,4.0,512GB,Windows 11,Silver,17.0,15.6
9,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display",29990.0,,HP,,3.3,512GB,Windows 11,Black,1.0,14.0
10,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
11,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.3,8GB,,Gray,34.0,
12,HP 15 Consumer Series Laptop,41990.0,i3,HP,12GB,4.1,512GB,Windows 11,Silver,22.0,15.6
13,ASUS Vivobook Go 14,34670.0,Ryzen 3,ASUS,8GB,4.1,512GB,Windows 11,Black,37.0,14.0
14,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),17990.0,,THOMSON,8GB,4.5,256GB,Windows 11,Silver,36.0,
15,ASUS Vivobook 14,36675.0,i3,ASUS,8GB,3.9,512GB,Windows 11,Silver,19.0,14.0
16,ASUS Vivobook 15 (2025),49820.0,Ryzen 7,ASUS,16GB,4.3,512GB,Windows 11,Blue,16.0,15.6
17,Dell 15,42990.0,i3,DELL,16GB,3.9,512GB,Windows 11,Grey,21.0,15.6
18,Walker Best Student & Office Work Laptop,16990.0,,WALKER,8GB,3.0,256GB,Windows 11,Silver,58.0,15.6
19,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),12990.0,,THOMSON,4GB,3.0,128GB,,Silver,48.0,
20,MSI Katana 15 HX,102990.0,i5,MSI,,,512GB,Windows 11,Black,10.0,40.0
21,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
22,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
23,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
24,Walker Best Student & Office Work Laptop,16990.0,,WALKER,8GB,3.0,256GB,Windows 11,Silver,58.0,15.6
25,HP Smartchoice Omen AMD Ryzen 7 7840Hs,126220.0,Ryzen 7,HP,16GB,4.0,1TB,Windows 11,Black,9.0,16.1
26,acer Aspire 3,31999.0,,ACER,12GB,3.5,512GB,Windows 11,Silver,11.0,15.6
27,ASUS Gaming V16 (2025),99990.0,,ASUS,16GB,5.0,512GB,Windows 11,Black,28.0,16.0
28,HP 15,54990.0,i5,HP,16GB,3.9,512GB,Windows 11,Silver,24.0,15.6
29,HP 15,69990.0,,HP,16GB,4.0,1TB,Windows 11,Silver,11.0,15.6
30,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),14990.0,,THOMSON,8GB,3.0,256GB,,Silver,46.0,
31,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,18990.0,,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,53.0,
