,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
0,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
1,HP Omen 16 Max,"2,87,999",,HP,32GB,3.3,1TB,Windows 11,Black,(17% off),16
2,"EBook 11.6"" HD Laptop","10,990",,EBOOK,4GB,3.8,4GB,Windows 11,Black,(56% off),11.6
3,HP 15,"41,990",i3,HP,12GB,4.1,512GB,Windows 11,Silver,(20% off),15.6
4,JioBook 11 with Lifetime Office,"10,990",,JIOBOOK,4GB,2.9,4GB,N/A,Blue,(56% off),N/A
5,"BrowseBook 14.1"" FHD IPS Laptop","12,990",,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,(57% off),14.1
6,Ienovo ThinkPad L14,"25,995",i5,IENOVO,8GB,N/A,256GB,Windows 10,N/A,(63% off),N/A
7,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),N/A,,LENOVO,4GB,3.9,4GB,N/A,Blue,N/A,46
8,HP 15,"36,990",Ryzen 3,HP,8GB,4.0,512GB,Windows 11,Silver,(17% off),15.6
9,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display","29,990",,HP,N/A,3.3,512GB,Windows 11,Black,(1% off),14.0
10,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
11,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
12,HP 15 Consumer Series Laptop,"41,990",i3,HP,12GB,4.1,512GB,Windows 11,Silver,(22% off),15.6
13,ASUS Vivobook Go 14,"34,670",Ryzen 3,ASUS,8GB,4.1,512GB,Windows 11,Black,(37% off),14
14,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",,THOMSON,8GB,4.5,256GB,Windows 11,Silver,(36% off),N/A
15,ASUS Vivobook 14,"36,675",i3,ASUS,8GB,3.9,512GB,Windows 11,Silver,(19% off),14
16,ASUS Vivobook 15 (2025),"49,820",Ryzen 7,ASUS,16GB,4.3,512GB,Windows 11,Blue,(16% off),15.6
17,Dell 15,"42,990",i3,DELL,16GB,3.9,512GB,Windows 11,Grey,(21% off),15.6
18,Walker Best Student & Office Work Laptop,"16,990",,WALKER,8GB,3.0,256GB,Windows 11,Silver,(58% off),15.6
19,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",,THOMSON,4GB,3.0,128GB,N/A,Silver,(48% off),N/A
20,MSI Katana 15 HX,"1,02,990",i5,MSI,N/A,N/A,512GB,Windows 11,Black,(10% off),40
21,Primebook 2 Pro 2025 (New Launch),"19,990",,PRIMEBOOK,8GB,4.4,8GB,N/A,Gray,(33% off),N/A
22,HP OmniBook 5 OLED (Previously Pavilion),"66,990",,HP,16GB,4.1,512GB,Windows 11,Silver,(20% off),14
23,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)","45,490",i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,(33% off),14
24,Walker Best Student & Office Work Laptop,"16,990",,WALKER,8GB,3.0,256GB,Windows 11,Silver,(58% off),15.6
25,HP Smartchoice Omen AMD Ryzen 7 7840Hs,"1,26,220",Ryzen 7,HP,16GB,4.0,1TB,Windows 11,Black,(9% off),16.1
26,acer Aspire 3,"31,999",,ACER,12GB,3.5,512GB,Windows 11,Silver,(11% off),15.6
27,ASUS Gaming V16 (2025),"99,990",,ASUS,16GB,5.0,512GB,Windows 11,Black,(28% off),16
28,HP 15,"54,990",i5,HP,16GB,3.9,512GB,Windows 11,Silver,(24% off),15.6
29,HP 15,"69,990",,HP,16GB,4.0,1TB,Windows 11,Silver,(11% off),15.6
30,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),"14,990",,THOMSON,8GB,3.0,256GB,N/A,Silver,(46% off),N/A
31,ULTIMUS APEX Laptop Intel Pentium Quad Core 8 GB DDR3 512 GB SSD Expandable~1TB 14.1 HD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,"18,990",,ULTIMUS,8GB,3.4,512GB,Windows 11,Silver,(53% off),N/A
32,HP 15,"56,990",Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,(22% off),15.6
33,Primebook 2 Max 2025 (New Launch),"22,990",,PRIMEBOOK,8GB,4.3,8GB,N/A,Gray,(34% off),N/A
34,"Lenovo V15 G4 15.6"" FHD Business Laptop Computer","57,900",i5,LENOVO,16GB,4.5,16GB,Windows 11,N/A,(20% off),15.6
35,HP Victus,"62,990",Ryzen 7,HP,16GB,4.2,512GB,Windows 11,Silver,(15% off),15.6
36,Lenovo IdeaPad Slim 3,"51,325",i5,LENOVO,16GB,4.2,512GB,Windows 11,Grey,(32% off),15.6
